sample_output_rna	sample_output_ribo
ENST00000302092	0.000000	0.000000
ENST00000559480	0.000000	0.000000
ENST00000298232	0.000000	0.000000
ENST00000361285	0.000000	0.000000
ENST00000342420	0.000000	0.000000
ENST00000328758	256.747000	0.000000
ENST00000299443	0.000000	0.000000
ENST00000596508	0.000000	0.000000
ENST00000344577	0.000000	0.000000
ENST00000400211	0.000000	0.000000
ENST00000536861	0.000000	0.000000
ENST00000400577	177.820000	615.129320
ENST00000285667	492.231000	4405.300183
ENST00000544452	1343.390000	8216.536274
ENST00000400564	530.422000	502.892409
ENST00000400566	259.704000	502.381637
ENST00000285670	12.322200	19.516313
ENST00000435732	0.000000	0.000000
ENST00000400562	0.000000	0.000000
ENST00000400199:ENST00000400202:ENST00000318948	313.422000	808.983324
ENST00000285679	1286.940000	497.556547
ENST00000351097	0.000000	0.000000
ENST00000285681	46.950800	17.583274
ENST00000453553	643.637000	0.000000
ENST00000449491	1007.940000	740.934805
ENST00000400183	12.603700	4.550792
ENST00000440664	42.660600	0.000000
ENST00000284878	129.634000	606.311975
ENST00000400166	77.312700	141.531293
ENST00000356275	1117.600000	8561.064906
ENST00000400165	455.600000	955.475704
ENST00000400169	349.922000	1336.414647
ENST00000306618	0.000000	0.000000
ENST00000339775	0.000000	0.000000
ENST00000348354	1077.570000	1528.519333
ENST00000284881	278.677000	41.271111
ENST00000400559	0.000030	0.000004
ENST00000400558	11.794300	2.602106
ENST00000405964	482.750000	94.167851
ENST00000400128:ENST00000400127	0.000000	0.000000
ENST00000400131:ENST00000400135:ENST00000338326	309.912000	0.000000
ENST00000299295	0.000000	0.000000
ENST00000543733	0.000000	0.000000
ENST00000284885	0.000000	0.000000
ENST00000422787	0.000000	0.000000
ENST00000400546	1514.860000	3672.696969
ENST00000284894	939.150000	2151.694162
ENST00000535285	0.000000	0.000000
ENST00000352957	517.092000	565.179655
ENST00000307301	0.000000	0.000000
ENST00000419219	749.867000	927.448598
ENST00000400532	226.934000	159.457543
ENST00000480456	1559.910000	1732.266931
ENST00000460679	1879.630000	1095.129206
ENST00000312957	0.000000	0.000000
ENST00000425221	0.000000	0.000000
ENST00000400099	0.000000	0.000000
ENST00000400094:ENST00000284971:ENST00000400090:ENST00000400087:ENST00000400093	81910.100000	34955.715423
ENST00000457143	6672.040000	2864.221184
ENST00000354828:ENST00000400075	420.932000	1628.229158
ENST00000346798	212.664000	251.740698
ENST00000354192	56291.300000	53092.767329
ENST00000348990	2287.530000	2760.313310
ENST00000357903	41029.800000	47908.563664
ENST00000440126	0.015119	316.250824
ENST00000439274	2985.990000	2832.980585
ENST00000456209	42002.800000	36086.403367
ENST00000448850	0.000000	0.000000
ENST00000415997	55948.400000	50783.978256
ENST00000358918	0.000000	0.000000
ENST00000359726	0.000000	0.000000
ENST00000448388	59197.400000	61721.288928
ENST00000299340	281.308000	0.000000
ENST00000400043	0.000582	0.000000
ENST00000435845	0.000000	0.000000
ENST00000284984	203.450000	557.984682
ENST00000517777	286.579000	1563.749067
ENST00000451462	0.000000	0.000000
ENST00000517452	279.761000	734.122462
ENST00000284987	4.786840	15.317125
ENST00000303775:ENST00000460212	272.174000	491.284676
ENST00000351429	0.000000	0.000000
ENST00000361371	192.919000	296.043415
ENST00000389194	89.929000	134.365185
ENST00000389195	0.000000	0.000000
ENST00000483326	0.000000	0.000000
ENST00000493196	290.009000	771.140801
ENST00000399975	553.034000	137.414366
ENST00000399976:ENST00000334352	1015.556000	252.006264
ENST00000399973	2541.070000	0.000000
ENST00000535828	2319.750000	393.634211
ENST00000432178	18821.000000	11880.964253
ENST00000286788	2939.260000	2620.293359
ENST00000431234	0.000000	0.000000
ENST00000542732	3150.930000	2748.060514
ENST00000540844	2387.220000	1573.756849
ENST00000341618:ENST00000399947	0.000000	0.000000
ENST00000399935:ENST00000399934:ENST00000339024:ENST00000399928:ENST00000399926:ENST00000399925	853.206000	0.000000
ENST00000451489	0.000000	0.000000
ENST00000286791	39.117200	0.000000
ENST00000545939	0.000000	0.000000
ENST00000286800:ENST00000399921	130.403000	52.556852
ENST00000451655	0.000000	0.000000
ENST00000447177	429.933000	447.522945
ENST00000435072	0.000000	0.000000
ENST00000422809	93.803900	68.202610
ENST00000468059	314.107000	479.708598
ENST00000327783	211.954000	30.754648
ENST00000389125	379.159000	57.900720
ENST00000399913	1201.030000	180.186436
ENST00000399914	66.973800	9.885828
ENST00000389124	0.000000	0.000000
ENST00000399907	0.000000	0.000000
ENST00000399909	0.000000	0.000000
ENST00000535441	0.125288	0.018753
ENST00000309434	0.000000	0.000000
ENST00000286808	0.000000	0.000000
ENST00000399899:ENST00000286809	0.000000	0.000000
ENST00000340345	0.000000	0.000000
ENST00000416044	0.000000	0.000000
ENST00000360542	0.000000	0.000000
ENST00000382835	0.000000	0.000000
ENST00000399889	0.000000	0.000000
ENST00000355459	0.000000	0.000000
ENST00000390690	0.000000	0.000000
ENST00000334068	0.000000	0.000000
ENST00000334067	0.000000	0.000000
ENST00000390689	0.000000	0.000000
ENST00000334063	0.000000	0.000000
ENST00000334058	0.000000	0.000000
ENST00000334151	0.000000	0.000000
ENST00000391624	0.000000	0.000000
ENST00000329122	0.000000	0.000000
ENST00000333892	0.000000	0.000000
ENST00000335093	0.000000	0.000000
ENST00000332378	0.000000	0.000000
ENST00000286827	189.600000	569.576045
ENST00000423206	612.390000	969.150024
ENST00000455508	0.000000	0.000000
ENST00000541036	138.983000	431.304571
ENST00000270142	15442.000000	33690.711044
ENST00000389995	21644.500000	45570.991109
ENST00000286835	127.984000	187.482030
ENST00000399804	148.565000	222.151115
ENST00000434667	444.292000	659.995459
ENST00000270112	36.907800	556.481429
ENST00000430354	49.992600	590.894008
ENST00000439107	133.296000	0.000000
ENST00000290130	80.414300	217.726599
ENST00000399784:ENST00000303645	155.820200	0.000000
ENST00000339944:ENST00000399786	101.552600	0.000000
ENST00000382751	99.892100	811.853664
ENST00000300255	318.696000	123.481895
ENST00000435323:ENST00000437338	229.554000	0.000000
ENST00000457807	183.556000	0.000000
ENST00000401402	0.000000	0.000000
ENST00000382699	0.000000	0.000000
ENST00000412833	119.264000	0.000000
ENST00000300258	0.000000	0.000000
ENST00000491828	0.000000	0.000000
ENST00000472557	275.485000	372.661855
ENST00000582575	0.000000	0.000000
ENST00000431216	0.000000	0.000000
ENST00000553001	188.759000	127.825488
ENST00000431599	0.000000	0.000000
ENST00000440966	363.900000	306.926809
ENST00000382549	2183.750000	1512.309659
ENST00000290155	1638.760000	1258.704389
ENST00000425336	3323.340000	426.577329
ENST00000300260	0.000000	0.000000
ENST00000458138	901.041000	682.991879
ENST00000540881	0.000000	0.000000
ENST00000438952	1889.440000	3170.064815
ENST00000382499	0.000000	0.000000
ENST00000433931	212.301000	542.205579
ENST00000418301	2710.790000	5862.840272
ENST00000416083	0.000000	0.000000
ENST00000429236	0.000000	0.000000
ENST00000456084	0.000000	0.000000
ENST00000382491	110.780000	253.825445
ENST00000322229	1875.650000	4215.932577
ENST00000357345	0.000000	0.000000
ENST00000331923	379.704000	271.904055
ENST00000443785	77.387600	88.323101
ENST00000290178	44.407700	36.129622
ENST00000382375:ENST00000382378	0.000000	0.000000
ENST00000490358:ENST00000487113:ENST00000479548:ENST00000536776	315.548000	80.776244
ENST00000382373	22.003900	4.310281
ENST00000382357:ENST00000333337	1133.952000	8479.290784
ENST00000382348	711.001000	5819.486918
ENST00000333063	524.407000	4113.369918
ENST00000451980	0.000000	0.000000
ENST00000382264:ENST00000404220	296.162000	22.993690
ENST00000342136:ENST00000382241	354.122000	436.155754
ENST00000342101	0.000000	0.000000
ENST00000382238	1064.290000	167.031073
ENST00000413881	0.000000	0.000000
ENST00000443073	363.254000	46.112976
ENST00000447980	172.365000	25.868069
ENST00000433395	0.000000	0.000000
ENST00000432231	3816.940000	0.000000
ENST00000290200	275.150000	85.029283
ENST00000422891	0.000000	0.000000
ENST00000451065	138.003000	73.598006
ENST00000270139	0.000000	0.000000
ENST00000442071	1363.290000	333.078150
ENST00000442357	0.000000	0.000000
ENST00000416947	2249.500000	956.265290
ENST00000290219	1217.950000	300.905340
ENST00000439213	53.386500	77.744904
ENST00000381995	40.095600	9.257382
ENST00000405436	3611.830000	0.000000
ENST00000420455:ENST00000542230	3105.540000	1986.296732
ENST00000442441	52.556700	31.762489
ENST00000432504	3556.950000	1800.499087
ENST00000381947:ENST00000314399:ENST00000402202	414.072000	236.234769
ENST00000381815:ENST00000381831:ENST00000381839	383.925000	310.761117
ENST00000424203	0.000000	0.000000
ENST00000361093	672.690000	694.535634
ENST00000366093	3049.870000	2179.865496
ENST00000430874	0.000000	0.000000
ENST00000426819	0.000000	0.000000
ENST00000438059	0.000000	0.000000
ENST00000441403	2690.700000	5124.883158
ENST00000543717	458.112000	355.586297
ENST00000356577	270.968000	341.620695
ENST00000381692	2667.380000	1383.679369
ENST00000300278	208.502000	271.700373
