sample_output_rna	sample_output_ribo
ENST00000302092	0	0
ENST00000559480	0	0
ENST00000298232	0	0
ENST00000361285	0	0
ENST00000342420	0	0
ENST00000328758	256.747	0.000000
ENST00000299443	0	0
ENST00000596508	0	0
ENST00000344577	0	0
ENST00000400211	0	0
ENST00000536861	0	0
ENST00000400577	177.82	615.129320
ENST00000285667	492.231	4405.300183
ENST00000544452	1343.39	8216.536274
ENST00000400564	530.422	502.892409
ENST00000400566	259.704	502.381637
ENST00000285670	12.3222	19.516313
ENST00000435732	0	0
ENST00000400562	0	0
ENST00000400199	104.474	269.661108
ENST00000400202	104.474	269.661108
ENST00000318948	104.474	269.661108
ENST00000285679	1286.94	497.556547
ENST00000351097	0	0
ENST00000285681	46.9508	17.583274
ENST00000453553	643.637	0.000000
ENST00000449491	1007.94	740.934805
ENST00000400183	12.6037	4.550792
ENST00000440664	42.6606	0.000000
ENST00000284878	129.634	606.311975
ENST00000400166	77.3127	141.531293
ENST00000356275	1117.6	8561.064906
ENST00000400165	455.6	955.475704
ENST00000400169	349.922	1336.414647
ENST00000306618	0	0
ENST00000339775	0	0
ENST00000348354	1077.57	1528.519333
ENST00000284881	278.677	41.271111
ENST00000400559	2.9747e-05	0.000004
ENST00000400558	11.7943	2.602106
ENST00000405964	482.75	94.167851
ENST00000400128	0	0
ENST00000400131	103.304	0.000000
ENST00000400135	103.304	0.000000
ENST00000400127	0	0
ENST00000299295	0	0
ENST00000543733	0	0
ENST00000338326	103.304	0.000000
ENST00000284885	0	0
ENST00000422787	0	0
ENST00000400546	1514.86	3672.696969
ENST00000284894	939.15	2151.694162
ENST00000535285	0	0
ENST00000352957	517.092	565.179655
ENST00000307301	0	0
ENST00000419219	749.867	927.448598
ENST00000400532	226.934	159.457543
ENST00000480456	1559.91	1732.266931
ENST00000460679	1879.63	1095.129206
ENST00000312957	0	0
ENST00000425221	0	0
ENST00000400099	0	0
ENST00000400094	16382	6991.134327
ENST00000284971	16382	6991.134327
ENST00000457143	6672.04	2864.221184
ENST00000400090	16382	6991.134327
ENST00000400087	16382	6991.134327
ENST00000400093	16382.1	6991.178115
ENST00000354828	210.466	814.114579
ENST00000400075	210.466	814.114579
ENST00000346798	212.664	251.740698
ENST00000354192	56291.3	53092.767329
ENST00000348990	2287.53	2760.313310
ENST00000357903	41029.8	47908.563664
ENST00000440126	0.0151194	316.250824
ENST00000439274	2985.99	2832.980585
ENST00000456209	42002.8	36086.403367
ENST00000448850	0	0
ENST00000415997	55948.4	50783.978256
ENST00000358918	0	0
ENST00000359726	0	0
ENST00000448388	59197.4	61721.288928
ENST00000299340	281.308	0.000000
ENST00000400043	0.000581753	0.000000
ENST00000435845	0	0
ENST00000284984	203.45	557.984682
ENST00000517777	286.579	1563.749067
ENST00000451462	0	0
ENST00000517452	279.761	734.122462
ENST00000284987	4.78684	15.317125
ENST00000303775	136.087	245.642338
ENST00000351429	0	0
ENST00000460212	136.087	245.642338
ENST00000361371	192.919	296.043415
ENST00000389194	89.929	134.365185
ENST00000389195	0	0
ENST00000483326	0	0
ENST00000493196	290.009	771.140801
ENST00000399975	553.034	137.414366
ENST00000399976	507.778	126.003132
ENST00000334352	507.778	126.003132
ENST00000399973	2541.07	0.000000
ENST00000535828	2319.75	393.634211
ENST00000432178	18821	11880.964253
ENST00000286788	2939.26	2620.293359
ENST00000431234	0	0
ENST00000542732	3150.93	2748.060514
ENST00000540844	2387.22	1573.756849
ENST00000341618	0	0
ENST00000399935	142.201	0.000000
ENST00000399934	142.201	0.000000
ENST00000399947	0	0
ENST00000339024	142.201	0.000000
ENST00000399928	142.201	0.000000
ENST00000399926	142.201	0.000000
ENST00000399925	142.201	0.000000
ENST00000451489	0	0
ENST00000286791	39.1172	0.000000
ENST00000545939	0	0
ENST00000286800	65.2015	26.278426
ENST00000399921	65.2015	26.278426
ENST00000451655	0	0
ENST00000447177	429.933	447.522945
ENST00000435072	0	0
ENST00000422809	93.8039	68.202610
ENST00000468059	314.107	479.708598
ENST00000327783	211.954	30.754648
ENST00000389125	379.159	57.900720
ENST00000399913	1201.03	180.186436
ENST00000399914	66.9738	9.885828
ENST00000389124	0	0
ENST00000399907	0	0
ENST00000399909	0	0
ENST00000535441	0.125288	0.018753
ENST00000309434	0	0
ENST00000286808	0	0
ENST00000399899	0	0
