sample_output_rna	sample_output_ribo
ENST00000302092	0	0
ENST00000559480	0	0
ENST00000298232	0	0
ENST00000361285	0	0
ENST00000342420	0	0
ENST00000328758	16	0
ENST00000299443	0	0
ENST00000596508	0	0
ENST00000344577	0	0
ENST00000400211	0	0
ENST00000536861	0	0
ENST00000400577	37	40
ENST00000285667	192.854	539.396
ENST00000544452	256.146	489.604
ENST00000400564	71.3885	21.1521
ENST00000400566	77.1411	46.6351
ENST00000285670	4.47033	2.2127
ENST00000435732	0	0
ENST00000400562	0	0
ENST00000400199	110.333	89
ENST00000400202	110.333	89
ENST00000318948	110.333	89
ENST00000285679	1230.95	148.729
ENST00000351097	0	0
ENST00000285681	46.3608	5.426
ENST00000453553	85.3813	0
ENST00000449491	158.397	36.3887
ENST00000400183	12.9084	1.45658
ENST00000440664	1	0
ENST00000284878	37.503	54.817
ENST00000400166	13.919	7.96306
ENST00000356275	34.6287	82.8991
ENST00000400165	59.1157	38.7445
ENST00000400169	96.8337	115.576
ENST00000306618	0	0
ENST00000339775	0	0
ENST00000348354	194	86
ENST00000284881	62.2975	2.88328
ENST00000400559	6.62109e-06	3.07772e-07
ENST00000400558	1.76985	0.122028
ENST00000405964	81.9327	4.99469
ENST00000400128	0	0
ENST00000400131	17	0
ENST00000400135	17	0
ENST00000400127	0	0
ENST00000299295	0	0
ENST00000543733	0	0
ENST00000338326	17	0
ENST00000284885	0	0
ENST00000422787	0	0
ENST00000400546	1129.63	855.894
ENST00000284894	571.371	409.106
ENST00000535285	0	0
ENST00000352957	136.094	46.4869
ENST00000307301	0	0
ENST00000419219	166.906	64.5131
ENST00000400532	54.022	11.8628
ENST00000480456	350.222	121.543
ENST00000460679	354.756	64.5943
ENST00000312957	0	0
ENST00000425221	0	0
ENST00000400099	0	0
ENST00000400094	718.291	95.7967
ENST00000284971	718.291	95.7967
ENST00000457143	335.544	45.016
ENST00000400090	718.291	95.7967
ENST00000400087	718.291	95.7967
ENST00000400093	718.291	95.7973
ENST00000354828	79	95.5
ENST00000400075	79	95.5
ENST00000346798	144.806	53.5694
ENST00000354192	31199.1	9196.18
ENST00000348990	1391.72	524.824
ENST00000357903	27183.9	9919.68
ENST00000440126	0.00994412	65.0033
ENST00000439274	1871.51	554.906
ENST00000456209	8685.62	2332.05
ENST00000448850	0	0
ENST00000415997	6177.58	1752.38
ENST00000358918	0	0
ENST00000359726	0	0
ENST00000448388	34011.8	11082.4
ENST00000299340	24	0
ENST00000400043	3.75016e-05	0
ENST00000435845	0	0
ENST00000284984	177.287	151.954
ENST00000517777	28.8728	49.2359
ENST00000451462	0	0
ENST00000517452	16.8403	13.8102
ENST00000284987	4	4
ENST00000303775	19.5	11
ENST00000351429	0	0
ENST00000460212	19.5	11
ENST00000361371	317.157	152.099
ENST00000389194	151.843	70.9009
ENST00000389195	0	0
ENST00000483326	0	0
ENST00000493196	71	59
ENST00000399975	404.375	31.4005
ENST00000399976	371.775	28.831
ENST00000334352	371.775	28.831
ENST00000399973	108.824	0
ENST00000535828	866.251	45.9375
ENST00000432178	810.797	159.953
ENST00000286788	1370.43	381.805
ENST00000431234	0	0
ENST00000542732	1411.24	384.644
ENST00000540844	944.535	194.597
ENST00000341618	0	0
ENST00000399935	10.5	0
ENST00000399934	10.5	0
ENST00000399947	0	0
ENST00000339024	10.5	0
ENST00000399928	10.5	0
ENST00000399926	10.5	0
ENST00000399925	10.5	0
ENST00000451489	0	0
ENST00000286791	3	0
ENST00000545939	0	0
ENST00000286800	42.2529	5.32195
ENST00000399921	42.2529	5.32195
ENST00000451655	0	0
ENST00000447177	63.684	20.7165
ENST00000435072	0	0
ENST00000422809	13.804	3.13659
ENST00000468059	22.0061	10.503
ENST00000327783	181.008	8.20802
ENST00000389125	307.668	14.6831
ENST00000399913	991.996	46.5104
ENST00000399914	56.224	2.59359
ENST00000389124	0	0
ENST00000399907	0	0
ENST00000399909	0	0
ENST00000535441	0.103725	0.00485184
ENST00000309434	0	0
ENST00000286808	0	0
ENST00000399899	0	0
ENST00000286809	0	0
ENST00000340345	0	0
ENST00000416044	0	0
ENST00000360542	0	0
ENST00000382835	0	0
ENST00000399889	0	0
ENST00000355459	0	0
ENST00000390690	0	0
ENST00000334068	0	0
ENST00000334067	0	0
ENST00000390689	0	0
ENST00000334063	0	0
