Gene stable ID	Mouse gene stable ID	Mouse homology type
ENSG00000001561	ENSMUSG00000023961	ortholog_one2one
ENSG00000004142	ENSMUSG00000001100	ortholog_one2one
ENSG00000004799	ENSMUSG00000019577	ortholog_one2one
ENSG00000004961	ENSMUSG00000031352	ortholog_one2one
ENSG00000005022	ENSMUSG00000016319	ortholog_one2one
ENSG00000006831	ENSMUSG00000030168	ortholog_one2one
ENSG00000008018	ENSMUSG00000014769	ortholog_one2one
ENSG00000008324	ENSMUSG00000032526	ortholog_one2one
ENSG00000009954	ENSMUSG00000002748	ortholog_one2one
ENSG00000010818	ENSMUSG00000015501	ortholog_one2one
ENSG00000014123	ENSMUSG00000040359	ortholog_one2one
ENSG00000019995	ENSMUSG00000030967	ortholog_one2one
ENSG00000023318	ENSMUSG00000028343	ortholog_one2one
ENSG00000023516	ENSMUSG00000022016	ortholog_one2one
ENSG00000023909	ENSMUSG00000028124	ortholog_one2one
ENSG00000024862	ENSMUSG00000059554	ortholog_one2one
ENSG00000025772	ENSMUSG00000018322	ortholog_one2one
ENSG00000029639	ENSMUSG00000036983	ortholog_one2one
ENSG00000035687	ENSMUSG00000015961	ortholog_one2one
ENSG00000037042	ENSMUSG00000045007	ortholog_one2one
ENSG00000044446	ENSMUSG00000031295	ortholog_one2one
ENSG00000044574	ENSMUSG00000026864	ortholog_one2one
ENSG00000047644		
ENSG00000048544	ENSMUSG00000034729	ortholog_one2one
ENSG00000053372	ENSMUSG00000028741	ortholog_one2one
ENSG00000054118	ENSMUSG00000043962	ortholog_one2one
ENSG00000055130	ENSMUSG00000029686	ortholog_one2one
ENSG00000056050	ENSMUSG00000038005	ortholog_one2one
ENSG00000059588	ENSMUSG00000090290	ortholog_one2one
ENSG00000062582	ENSMUSG00000020477	ortholog_one2one
ENSG00000065183	ENSMUSG00000033285	ortholog_one2one
ENSG00000065308	ENSMUSG00000041779	ortholog_one2one
ENSG00000065491	ENSMUSG00000042203	ortholog_one2one
ENSG00000066084	ENSMUSG00000023026	ortholog_one2one
ENSG00000066135	ENSMUSG00000033326	ortholog_one2one
ENSG00000066557	ENSMUSG00000063052	ortholog_one2one
ENSG00000066739	ENSMUSG00000041341	ortholog_one2one
ENSG00000068394	ENSMUSG00000031148	ortholog_one2one
ENSG00000068697	ENSMUSG00000020585	ortholog_one2one
ENSG00000069275	ENSMUSG00000026434	ortholog_one2one
ENSG00000069509	ENSMUSG00000025040	ortholog_one2one
ENSG00000069956	ENSMUSG00000042688	ortholog_one2one
ENSG00000070444	ENSMUSG00000000282	ortholog_one2one
ENSG00000072401	ENSMUSG00000019927	ortholog_one2one
ENSG00000073169	ENSMUSG00000035757	ortholog_one2one
ENSG00000074695	ENSMUSG00000041891	ortholog_one2one
ENSG00000075407		
ENSG00000075914	ENSMUSG00000025785	ortholog_one2one
ENSG00000079785	ENSMUSG00000037149	ortholog_one2one
ENSG00000080608	ENSMUSG00000041360	ortholog_one2one
ENSG00000082516	ENSMUSG00000037275	ortholog_one2one
ENSG00000083535	ENSMUSG00000022064	ortholog_one2one
ENSG00000084073	ENSMUSG00000043207	ortholog_one2one
ENSG00000084092	ENSMUSG00000036285	ortholog_one2one
ENSG00000084093	ENSMUSG00000029249	ortholog_one2one
ENSG00000084652	ENSMUSG00000053841	ortholog_one2one
ENSG00000084733	ENSMUSG00000020671	ortholog_one2one
ENSG00000085365	ENSMUSG00000021687	ortholog_one2one
ENSG00000085377	ENSMUSG00000019849	ortholog_one2one
ENSG00000086544	ENSMUSG00000003752	ortholog_one2one
ENSG00000087086	ENSMUSG00000050708	ortholog_one2many
ENSG00000087086	ENSMUSG00000062382	ortholog_one2many
ENSG00000087338	ENSMUSG00000001157	ortholog_one2one
ENSG00000088356	ENSMUSG00000027472	ortholog_one2one
ENSG00000088451	ENSMUSG00000022130	ortholog_one2one
ENSG00000089048	ENSMUSG00000045624	ortholog_one2one
ENSG00000089050	ENSMUSG00000027428	ortholog_one2one
ENSG00000089154	ENSMUSG00000041638	ortholog_one2one
ENSG00000089220	ENSMUSG00000032959	ortholog_one2many
ENSG00000089220	ENSMUSG00000047104	ortholog_one2many
ENSG00000089289	ENSMUSG00000031221	ortholog_one2one
ENSG00000090432	ENSMUSG00000041241	ortholog_one2one
ENSG00000091317	ENSMUSG00000032434	ortholog_one2one
ENSG00000091483	ENSMUSG00000026526	ortholog_one2one
ENSG00000091542	ENSMUSG00000042650	ortholog_one2one
ENSG00000095319	ENSMUSG00000052533	ortholog_one2many
ENSG00000095574	ENSMUSG00000040167	ortholog_one2one
ENSG00000096092	ENSMUSG00000025933	ortholog_one2one
ENSG00000096384	ENSMUSG00000023944	ortholog_one2one
ENSG00000096401	ENSMUSG00000023932	ortholog_one2one
ENSG00000099194	ENSMUSG00000025203	ortholog_one2many
ENSG00000099194	ENSMUSG00000050195	ortholog_one2many
ENSG00000099194	ENSMUSG00000025202	ortholog_one2many
ENSG00000099194	ENSMUSG00000037071	ortholog_one2many
ENSG00000099624	ENSMUSG00000003072	ortholog_one2one
ENSG00000099942	ENSMUSG00000006134	ortholog_one2one
ENSG00000100104	ENSMUSG00000029346	ortholog_one2one
ENSG00000100216	ENSMUSG00000022427	ortholog_one2one
ENSG00000100304	ENSMUSG00000016757	ortholog_one2one
ENSG00000100319	ENSMUSG00000009076	ortholog_one2one
ENSG00000100387	ENSMUSG00000022400	ortholog_one2one
ENSG00000100393	ENSMUSG00000055024	ortholog_one2one
ENSG00000100403	ENSMUSG00000022390	ortholog_one2one
ENSG00000100410	ENSMUSG00000061360	ortholog_one2one
ENSG00000100418	ENSMUSG00000022472	ortholog_one2one
ENSG00000100426	ENSMUSG00000034333	ortholog_one2one
ENSG00000100442	ENSMUSG00000020949	ortholog_one2one
ENSG00000100647	ENSMUSG00000021133	ortholog_one2one
ENSG00000100982	ENSMUSG00000039849	ortholog_one2one
ENSG00000101000	ENSMUSG00000027611	ortholog_one2one
ENSG00000101052	ENSMUSG00000017858	ortholog_one2one
