ENSG00000180008	ENST00000395472:ENST00000555846:ENST00000339298
ENSG00000167693	ENST00000336868
ENSG00000167693	ENST00000537628
ENSG00000167693	ENST00000575801
ENSG00000167693	ENST00000571684
ENSG00000167693	ENST00000538650
ENSG00000186185	ENST00000339151
ENSG00000186185	ENST00000590129
ENSG00000186185	ENST00000587309:ENST00000438933
ENSG00000186185	ENST00000593135
ENSG00000064703	ENST00000533164:ENST00000536167
ENSG00000064703	ENST00000369702
ENSG00000064703	ENST00000475700
ENSG00000230873	ENST00000354384
ENSG00000230873	ENST00000536551
ENSG00000111671	ENST00000523102:ENST00000524270
ENSG00000111671	ENST00000432205
ENSG00000111671	ENST00000519357
ENSG00000189292	ENST00000401503
ENSG00000189292	ENST00000452023
ENSG00000189292	ENST00000401489
ENSG00000189292	ENST00000403610
ENSG00000189292	ENST00000405290:ENST00000344414
ENSG00000164938	ENST00000378776
ENSG00000164938	ENST00000448464
ENSG00000164938	ENST00000342697
ENSG00000213523	ENST00000336283
ENSG00000213523	ENST00000602657
ENSG00000160161	ENST00000586018
ENSG00000160161	ENST00000291495
ENSG00000111837	ENST00000536370
ENSG00000111837	ENST00000313243:ENST00000474039:ENST00000354489
ENSG00000111837	ENST00000538030
ENSG00000110514	ENST00000349238
ENSG00000110514	ENST00000311027
ENSG00000110514	ENST00000402799
ENSG00000110514	ENST00000406482
ENSG00000110514	ENST00000342922
ENSG00000110514	ENST00000402192
ENSG00000110514	ENST00000428807
ENSG00000110514	ENST00000422579
ENSG00000110514	ENST00000444117
ENSG00000110514	ENST00000405573
ENSG00000110514	ENST00000407859
ENSG00000110514	ENST00000395336
ENSG00000110514	ENST00000453571
ENSG00000110514	ENST00000395344
ENSG00000111358	ENST00000536375
ENSG00000111358	ENST00000543415
ENSG00000111358	ENST00000543341
ENSG00000111358	ENST00000542279
ENSG00000111358	ENST00000538845
ENSG00000111358	ENST00000228955
ENSG00000111358	ENST00000543154
ENSG00000111358	ENST00000539994
ENSG00000111358	ENST00000538533
ENSG00000196376	ENST00000360388
ENSG00000100147	ENST00000255784
ENSG00000100147	ENST00000402061
ENSG00000076864	ENST00000471600
ENSG00000076864	ENST00000542643
ENSG00000076864	ENST00000374765
ENSG00000076864	ENST00000317967
ENSG00000076864	ENST00000599760
ENSG00000076864	ENST00000359708
